hardness_mgL,conductivity_uScm
29.806800000000003,86.0
29.1142,92.0
110.834,1660.0
30.6214,117.0
79.5896,180.0
6.6895,86.0
3.4082,255.0
101.85300000000001,290.0
8.9368,39.0
91.86500000000001,231.0
15.017199999999999,58.0
167.651,340.0
109.213,491.0
5.1299,97.0
77.94239999999999,177.0
7.2896,32.0
8.7616,40.0
40.417,101.0
11.359300000000001,324.0
1.9100000000000001,274.0
95.0358,217.0
4.8802,27.0
60.620599999999996,170.0
140.884,296.0
93.003,188.0
70.8894,176.0
134.8568,359.0
5.879,36.0
39.0457,431.0
134.1904,275.0
58.8162,244.0
12.756799999999998,313.0
49.3186,776.0
36.141,134.0
45.586200000000005,258.0
34.8139,278.0
23.9188,69.0
108.468,339.0
233.73950000000002,427.0
22.744799999999998,69.0
12.1829,70.0
1.6602999999999999,323.0
12.6823,41.0
202.5378,408.0
15.8408,472.0
17.7115,45.0
21.159,80.0
15.4773,69.0
33.8896,94.0
40.6708,110.0
70.399,177.0
4.9678,27.0
130.941,310.0
8.963,233.0
4.3063,28.0
14.1936,79.0
189.53619999999998,365.0
115.3712,246.0
75.26939999999999,173.0
1.1609,310.0
146.054,286.0
198.5172,394.0
94.7026,262.0
130.065,246.0
22.9683,75.0
14.3295,66.0
403.2712,952.0
8.3629,329.0
121.1888,257.0
25.439100000000003,80.0
108.6776,258.0
48.9068,1160.0
16.9272,377.0
85.5382,220.0
11.5214,72.0
14.180499999999999,287.0
151.048,306.0
24.2913,79.0
80.1062,175.0
30.9456,94.0
122.8098,254.0
16.8486,56.0
101.85300000000001,284.0
91.35579999999999,230.0
38.0338,95.0
111.84100000000001,293.0
65.4312,388.0
76.7856,302.0
52.2274,147.0
67.5688,252.0
12.8837,71.0
5.7169,80.0
2.3218,315.0
27.1477,766.0
24.190600000000003,66.0
27.160800000000002,66.0
63.8364,173.0
17.19,73.0
25.7633,87.0
14.666799999999999,54.0
10.873000000000001,301.0
100.232,363.0
100.977,330.0
3.1585,32.0
140.929,304.0
14.728200000000001,46.0
132.69299999999998,295.0
4.8057,21.0
14.355699999999999,77.0
63.941199999999995,175.0
149.865,296.0
20.3706,299.0
4.954700000000001,1170.0
12.6823,331.0
18.4868,49.0
86.6164,268.0
54.803,150.0
61.3394,145.0
70.3466,157.0
4.556,60.0
62.6542,256.0
43.1678,140.0
78.4066,292.0
25.0404,67.0
130.065,413.0
11.897999999999998,78.0
12.1084,62.0
1.5727000000000002,342.0
37.3764,154.0
25.8378,499.0
14.991,303.0
201.29900000000004,498.0
25.8992,96.0
8.875399999999999,255.0
6.1901,1160.0
9.0244,74.0
5.7914,97.0
158.277,434.0
260.48199999999997,1810.0
7.7759,36.0
127.437,3380.0
102.729,246.0
34.073800000000006,225.0
8.389100000000001,70.0
147.8584,310.0
162.9714,320.0
14.9427,71.0
60.4896,276.0
375.2426,724.0
202.478,1410.0
59.2542,279.0
121.30090000000001,239.0
8.0256,59.0
144.9758,380.0
46.4581,115.0
403.03200000000004,3170.0
1.1609,39.0
41.135,283.0
29.1453,411.0
30.367600000000003,353.0
213.473,420.0
158.76,1430.0
15.0786,335.0
70.7134,171.0
24.5893,58.0
90.244,245.0
48.9068,149.0
32.0148,133.0
143.35479999999998,292.0
245.721,459.0
99.356,304.0
68.90899999999999,170.0
5.055400000000001,25.0
101.85300000000001,239.0
79.9228,236.0
48.0046,2030.0
27.2443,164.0
105.8212,217.0
102.729,255.0
210.2834,609.0
73.7458,315.0
132.41219999999998,303.0
6.7157,24.0
27.248400000000004,97.0
171.638,354.0
124.07140000000001,257.0
140.405,1430.0
133.438,287.0
43.194,102.0
6.965400000000001,34.0
10.110800000000001,316.0
39.8431,125.0
142.75959999999998,266.0
101.13419999999999,249.0
65.229,163.0
20.085700000000003,690.0
616.202,8240.0
60.5944,175.0
143.29500000000002,309.0
130.196,322.0
154.8066,302.0
92.95060000000001,258.0
231.304,469.0
170.7432,646.0
23.1656,90.0
156.5586,342.0
48.8806,189.0
104.35,277.0
40.0535,144.0
39.330600000000004,92.0
5.3050999999999995,28.0
68.08539999999999,190.0
239.671,492.0
8.8492,284.0
131.5624,276.0
62.777,355.0
8.8885,234.0
48.2142,117.0
171.769,332.0
14.417100000000001,312.0
1.4106,291.0
15.2407,51.0
51.456199999999995,138.0
205.065,5780.0
60.673,149.0
136.811,290.0
9.1996,42.0
13.7818,340.0
36.001000000000005,222.0
94.6764,245.0
79.12540000000001,325.0
70.0134,244.0
116.78999999999999,266.0
26.3634,102.0
26.5738,96.0
127.8562,325.0
6.0411,514.0
26.8538,69.0
9.874199999999998,98.0
5.7169,237.0
6.7902000000000005,36.0
19.985,122.0
14.241900000000001,332.0
89.01599999999999,197.0
15.9022,537.0
93.486,227.0
50.554,151.0
134.314,296.0
12.4326,336.0
20.1954,319.0
20.861,77.0
153.54500000000002,293.0
224.7488,451.0
104.09540000000001,200.0
157.6704,316.0
66.412,190.0
105.4618,255.0
22.78,64.0
9.7604,491.0
4.3063,24.0
15.7401,342.0
76.576,291.0
24.8521,116.0
