pH,discharge_class,effluent_type,compliance_status
7.19,III,mixed,1
7.83,III,mixed,1
8.19,III,mixed,1
8.18,III,mixed,1
7.68,III,mixed,1
8.05,III,mixed,1
7.31,III,mixed,1
7.48,III,mixed,1
7.52,III,mixed,1
8.03,III,mixed,1
6.84,III,mixed,1
7.59,III,mixed,1
8.26,III,mixed,1
7.81,III,mixed,1
6.79,III,mixed,1
6.87,III,mixed,1
7.52,III,mixed,1
6.79,III,mixed,1
7.65,III,mixed,1
7.43,III,mixed,1
7.79,III,mixed,1
7.7,III,mixed,1
8.24,III,mixed,1
7.02,III,mixed,1
6.88,III,mixed,1
8.38,III,mixed,1
7.89,III,mixed,1
7.37,III,mixed,1
7.69,III,mixed,1
7.62,III,mixed,1
7.88,III,mixed,1
7.59,III,mixed,1
7.4,III,mixed,1
8.3,III,mixed,1
7.34,III,mixed,1
7.97,III,mixed,1
7.31,III,mixed,1
7.32,III,mixed,1
7.55,III,mixed,1
7.16,III,mixed,1
6.99,III,mixed,1
6.9,III,mixed,1
7.88,III,mixed,1
7.32,III,mixed,1
8.1,III,mixed,1
7.8,III,mixed,1
7.55,III,mixed,1
7.31,III,mixed,1
7.26,III,mixed,1
7.72,III,mixed,1
7.51,III,mixed,1
7.17,III,mixed,1
7.78,III,mixed,1
7.71,III,mixed,1
7.76,III,mixed,1
6.94,III,mixed,1
7.88,III,mixed,1
7.22,III,mixed,1
7.39,III,mixed,1
7.33,III,mixed,1
7.37,III,mixed,1
6.88,III,mixed,1
7.28,III,mixed,1
7.39,III,mixed,1
7.17,III,mixed,1
7.3,III,mixed,1
6.87,III,mixed,1
7.3,III,mixed,1
5.3,II,mixed,0
6.7,II,mixed,1
6.7,II,mixed,1
3.7,II,mixed,0
6.6,II,mixed,1
5.0,II,mixed,0
4.5,II,mixed,0
7.8,II,mixed,1
7.3,II,mixed,1
4.0,II,mixed,0
8.3,II,mixed,1
8.0,II,mixed,1
7.9,II,mixed,1
5.7,II,mixed,0
6.8,II,mixed,1
6.2,II,mixed,1
7.7,II,mixed,1
5.6,II,mixed,0
7.6,II,mixed,1
3.8,II,mixed,0
7.8,II,mixed,1
6.5,II,mixed,1
5.2,II,mixed,0
6.2,II,mixed,1
6.8,II,mixed,1
8.9,II,mixed,1
8.0,II,mixed,1
6.3,II,mixed,1
7.4,II,mixed,1
5.0,II,mixed,0
5.4,II,mixed,0
7.7,II,mixed,1
7.3,II,mixed,1
7.6,II,mixed,1
6.9,II,mixed,1
7.8,II,mixed,1
5.4,II,mixed,0
8.1,II,mixed,1
7.3,II,mixed,1
6.4,II,mixed,1
8.7,II,mixed,1
8.1,II,mixed,1
5.0,II,mixed,0
8.4,II,mixed,1
8.5,II,mixed,1
3.8,II,mixed,0
8.3,II,mixed,1
5.9,II,mixed,0
7.5,II,mixed,1
8.3,II,mixed,1
6.6,II,mixed,1
5.5,II,mixed,0
6.5,II,mixed,1
8.1,II,mixed,1
6.5,II,mixed,1
5.4,II,mixed,0
7.9,II,mixed,1
6.3,II,mixed,1
7.2,II,mixed,1
8.6,II,mixed,1
7.4,II,mixed,1
5.6,II,mixed,0
5.9,II,mixed,0
6.1,II,mixed,1
6.3,II,mixed,1
7.5,II,mixed,1
7.2,II,mixed,1
4.2,II,mixed,0
5.6,II,mixed,0
7.8,II,mixed,1
7.1,II,mixed,1
6.3,II,mixed,1
5.6,II,mixed,0
6.0,II,mixed,1
8.5,II,mixed,1
7.2,II,mixed,1
8.7,II,mixed,1
5.4,II,mixed,0
6.8,II,mixed,1
7.8,II,mixed,1
7.7,II,mixed,1
8.1,II,mixed,1
7.4,II,mixed,1
6.8,II,mixed,1
7.9,II,mixed,1
6.9,II,mixed,1
8.3,II,mixed,1
7.6,II,mixed,1
7.9,II,mixed,1
6.4,II,mixed,1
4.9,II,mixed,0
7.8,II,mixed,1
6.8,II,mixed,1
4.9,II,mixed,0
8.0,II,mixed,1
8.2,II,mixed,1
4.8,II,mixed,0
7.3,II,mixed,1
6.7,II,mixed,1
5.9,II,mixed,0
8.0,II,mixed,1
8.2,II,mixed,1
6.6,II,mixed,1
8.2,II,mixed,1
7.8,II,mixed,1
7.6,II,mixed,1
8.1,II,mixed,1
7.3,II,mixed,1
7.9,II,mixed,1
7.7,II,mixed,1
8.0,II,mixed,1
6.6,II,mixed,1
5.8,II,mixed,0
7.9,II,mixed,1
7.7,II,mixed,1
7.7,II,mixed,1
7.3,II,mixed,1
8.0,II,mixed,1
